Date,High,Low,Open,Close,Volume,Adj Close,StockSymbol,Description
2012-08-03,4.289999961853027,4.130000114440918,4.150000095367432,4.289999961853027,814100,4.289999961853027,OPK,OPKO Health
2012-08-06,4.320000171661377,4.260000228881836,4.28000020980835,4.269999980926514,858000,4.269999980926514,OPK,OPKO Health
2012-08-07,4.340000152587891,4.239999771118164,4.289999961853027,4.269999980926514,722500,4.269999980926514,OPK,OPKO Health
2012-08-08,4.309999942779541,4.210000038146973,4.260000228881836,4.260000228881836,678200,4.260000228881836,OPK,OPKO Health
2012-08-09,4.289999961853027,4.199999809265137,4.21999979019165,4.25,565600,4.25,OPK,OPKO Health
2012-08-10,4.289999961853027,4.199999809265137,4.25,4.25,425900,4.25,OPK,OPKO Health
2012-08-13,4.260000228881836,4.190000057220459,4.25,4.239999771118164,429400,4.239999771118164,OPK,OPKO Health
2012-08-14,4.269999980926514,4.159999847412109,4.25,4.170000076293945,624300,4.170000076293945,OPK,OPKO Health
2012-08-15,4.210000038146973,4.150000095367432,4.179999828338623,4.210000038146973,424100,4.210000038146973,OPK,OPKO Health
2012-08-16,4.309999942779541,4.150000095367432,4.21999979019165,4.289999961853027,780400,4.289999961853027,OPK,OPKO Health
2012-08-17,4.349999904632568,4.230000019073486,4.269999980926514,4.309999942779541,877700,4.309999942779541,OPK,OPKO Health
2012-08-20,4.369999885559082,4.25,4.320000171661377,4.360000133514404,610600,4.360000133514404,OPK,OPKO Health
2012-08-21,4.400000095367432,4.260000228881836,4.360000133514404,4.300000190734863,715100,4.300000190734863,OPK,OPKO Health
2012-08-22,4.449999809265137,4.269999980926514,4.269999980926514,4.369999885559082,838900,4.369999885559082,OPK,OPKO Health
2012-08-23,4.539999961853027,4.360000133514404,4.400000095367432,4.519999980926514,1280200,4.519999980926514,OPK,OPKO Health
2012-08-24,4.53000020980835,4.429999828338623,4.519999980926514,4.519999980926514,784500,4.519999980926514,OPK,OPKO Health
2012-08-27,4.559999942779541,4.449999809265137,4.539999961853027,4.5,952500,4.5,OPK,OPKO Health
2012-08-28,4.510000228881836,4.420000076293945,4.510000228881836,4.440000057220459,777000,4.440000057220459,OPK,OPKO Health
2012-08-29,4.559999942779541,4.429999828338623,4.440000057220459,4.449999809265137,966300,4.449999809265137,OPK,OPKO Health
2012-08-30,4.5,4.409999847412109,4.460000038146973,4.440000057220459,926700,4.440000057220459,OPK,OPKO Health
2012-08-31,4.5,4.409999847412109,4.46999979019165,4.440000057220459,626500,4.440000057220459,OPK,OPKO Health
2012-09-04,4.519999980926514,4.460000038146973,4.5,4.5,862600,4.5,OPK,OPKO Health
2012-09-05,4.519999980926514,4.46999979019165,4.489999771118164,4.46999979019165,473800,4.46999979019165,OPK,OPKO Health
2012-09-06,4.53000020980835,4.480000019073486,4.510000228881836,4.5,747700,4.5,OPK,OPKO Health
2012-09-07,4.519999980926514,4.440000057220459,4.5,4.5,653900,4.5,OPK,OPKO Health
2012-09-10,4.519999980926514,4.349999904632568,4.510000228881836,4.380000114440918,1053000,4.380000114440918,OPK,OPKO Health
2012-09-11,4.440000057220459,4.320000171661377,4.369999885559082,4.400000095367432,748600,4.400000095367432,OPK,OPKO Health
2012-09-12,4.429999828338623,4.349999904632568,4.409999847412109,4.369999885559082,346400,4.369999885559082,OPK,OPKO Health
2012-09-13,4.460000038146973,4.28000020980835,4.369999885559082,4.449999809265137,782900,4.449999809265137,OPK,OPKO Health
2012-09-14,4.590000152587891,4.400000095367432,4.449999809265137,4.449999809265137,1110600,4.449999809265137,OPK,OPKO Health
2012-09-17,4.449999809265137,4.369999885559082,4.440000057220459,4.429999828338623,531500,4.429999828338623,OPK,OPKO Health
2012-09-18,4.449999809265137,4.400000095367432,4.409999847412109,4.440000057220459,416700,4.440000057220459,OPK,OPKO Health
2012-09-19,4.449999809265137,4.380000114440918,4.440000057220459,4.400000095367432,779500,4.400000095367432,OPK,OPKO Health
2012-09-20,4.400000095367432,4.239999771118164,4.389999866485596,4.28000020980835,1309400,4.28000020980835,OPK,OPKO Health
2012-09-21,4.320000171661377,4.159999847412109,4.289999961853027,4.28000020980835,3547100,4.28000020980835,OPK,OPKO Health
2012-09-24,4.260000228881836,4.090000152587891,4.239999771118164,4.110000133514404,1584500,4.110000133514404,OPK,OPKO Health
2012-09-25,4.239999771118164,4.119999885559082,4.119999885559082,4.130000114440918,890600,4.130000114440918,OPK,OPKO Health
2012-09-26,4.179999828338623,4.050000190734863,4.150000095367432,4.139999866485596,692800,4.139999866485596,OPK,OPKO Health
2012-09-27,4.230000019073486,4.110000133514404,4.150000095367432,4.179999828338623,722300,4.179999828338623,OPK,OPKO Health
2012-09-28,4.230000019073486,4.150000095367432,4.159999847412109,4.179999828338623,545200,4.179999828338623,OPK,OPKO Health
2012-10-01,4.25,4.099999904632568,4.179999828338623,4.159999847412109,1272900,4.159999847412109,OPK,OPKO Health
2012-10-02,4.21999979019165,4.130000114440918,4.170000076293945,4.179999828338623,990400,4.179999828338623,OPK,OPKO Health
2012-10-03,4.449999809265137,4.179999828338623,4.179999828338623,4.389999866485596,3151600,4.389999866485596,OPK,OPKO Health
2012-10-04,4.46999979019165,4.340000152587891,4.429999828338623,4.440000057220459,1449600,4.440000057220459,OPK,OPKO Health
2012-10-05,4.539999961853027,4.449999809265137,4.46999979019165,4.5,1048700,4.5,OPK,OPKO Health
2012-10-08,4.5,4.380000114440918,4.5,4.380000114440918,920200,4.380000114440918,OPK,OPKO Health
2012-10-09,4.429999828338623,4.289999961853027,4.349999904632568,4.309999942779541,997200,4.309999942779541,OPK,OPKO Health
2012-10-10,4.360000133514404,4.269999980926514,4.329999923706055,4.289999961853027,578600,4.289999961853027,OPK,OPKO Health
2012-10-11,4.380000114440918,4.21999979019165,4.309999942779541,4.25,1234500,4.25,OPK,OPKO Health
2012-10-12,4.360000133514404,4.260000228881836,4.289999961853027,4.360000133514404,899400,4.360000133514404,OPK,OPKO Health
2012-10-15,4.400000095367432,4.320000171661377,4.360000133514404,4.340000152587891,431300,4.340000152587891,OPK,OPKO Health
2012-10-16,4.400000095367432,4.320000171661377,4.349999904632568,4.380000114440918,709700,4.380000114440918,OPK,OPKO Health
2012-10-17,4.559999942779541,4.360000133514404,4.369999885559082,4.550000190734863,1323100,4.550000190734863,OPK,OPKO Health
2012-10-18,4.78000020980835,4.480000019073486,4.550000190734863,4.690000057220459,2424200,4.690000057220459,OPK,OPKO Health
2012-10-19,4.71999979019165,4.389999866485596,4.710000038146973,4.420000076293945,1793600,4.420000076293945,OPK,OPKO Health
2012-10-22,4.53000020980835,4.380000114440918,4.46999979019165,4.46999979019165,1169300,4.46999979019165,OPK,OPKO Health
2012-10-23,4.5,4.400000095367432,4.440000057220459,4.489999771118164,810100,4.489999771118164,OPK,OPKO Health
2012-10-24,4.570000171661377,4.460000038146973,4.510000228881836,4.480000019073486,1115400,4.480000019073486,OPK,OPKO Health
2012-10-25,4.539999961853027,4.400000095367432,4.489999771118164,4.429999828338623,582700,4.429999828338623,OPK,OPKO Health
2012-10-26,4.460000038146973,4.300000190734863,4.420000076293945,4.340000152587891,908900,4.340000152587891,OPK,OPKO Health
2012-10-31,4.349999904632568,4.210000038146973,4.320000171661377,4.28000020980835,946400,4.28000020980835,OPK,OPKO Health
2012-11-01,4.329999923706055,4.239999771118164,4.300000190734863,4.320000171661377,1449300,4.320000171661377,OPK,OPKO Health
2012-11-02,4.340000152587891,4.21999979019165,4.320000171661377,4.260000228881836,656100,4.260000228881836,OPK,OPKO Health
2012-11-05,4.289999961853027,4.199999809265137,4.25,4.230000019073486,769200,4.230000019073486,OPK,OPKO Health
2012-11-06,4.300000190734863,4.199999809265137,4.289999961853027,4.260000228881836,937000,4.260000228881836,OPK,OPKO Health
2012-11-07,4.400000095367432,4.21999979019165,4.239999771118164,4.380000114440918,2335500,4.380000114440918,OPK,OPKO Health
2012-11-08,4.739999771118164,4.400000095367432,4.599999904632568,4.489999771118164,4715800,4.489999771118164,OPK,OPKO Health
2012-11-09,4.619999885559082,4.460000038146973,4.5,4.5,1578100,4.5,OPK,OPKO Health
2012-11-12,4.590000152587891,4.369999885559082,4.510000228881836,4.440000057220459,1194900,4.440000057220459,OPK,OPKO Health
2012-11-13,4.53000020980835,4.400000095367432,4.429999828338623,4.510000228881836,996200,4.510000228881836,OPK,OPKO Health
2012-11-14,4.53000020980835,4.340000152587891,4.510000228881836,4.360000133514404,1450200,4.360000133514404,OPK,OPKO Health
2012-11-15,4.460000038146973,4.340000152587891,4.360000133514404,4.429999828338623,1909600,4.429999828338623,OPK,OPKO Health
2012-11-16,4.449999809265137,4.340000152587891,4.429999828338623,4.380000114440918,803700,4.380000114440918,OPK,OPKO Health
2012-11-19,4.489999771118164,4.369999885559082,4.420000076293945,4.440000057220459,953600,4.440000057220459,OPK,OPKO Health
